Fecha,Fecha,MAE,MAPE
2021,1,7.614432653445393,65.3523868553822
2021,2,7.831611630243049,240.69417678892157
2021,3,6.837124178676621,19.09247514632652
2021,4,5.778712526366276,17.36330556875843
2021,5,6.491872405296495,723.4355992046061
2021,6,4.058995650956693,8.10810432724028
2021,7,5.366375262301777,10.953458587768862
2021,8,5.766776084115188,19.66788596099578
2021,9,8.997283077297409,5.850552144893856
2021,10,16.614125563220757,12.393722443189985
2021,11,11.741128207827261,8.091441463816542
2021,12,22.846209295520406,67.56762694304373
