,,MAE,MAPE
2021,1,7.835707623727864,66.00599206649694
2021,2,7.857724388548661,243.635299723674
2021,3,6.931018666964707,19.546711524974054
2021,4,6.049631504906555,18.996654491004275
2021,5,6.582310446800611,521.7694947655599
2021,6,3.8998849572075738,6.225912316284498
2021,7,5.519406776223128,10.87240342493664
2021,8,6.865415127251728,20.84668629801302
2021,9,9.700469046698677,6.234986364575433
2021,10,17.559674761782425,11.877664989826286
2021,11,14.599889720492909,9.203615108576486
2021,12,24.48262821956348,54.37687571267992
